statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
30,2020,5,7,-.289,.,-.265,.0167,-.179,-.271,-.277,-.29,.
30,2020,5,8,-.289,.,-.262,.00928,-.186,-.243,-.277,-.29,.
30,2020,5,9,-.286,.,-.253,.00186,-.19,-.218,-.271,-.289,.
30,2020,5,10,-.286,.,-.25,-.00557,-.194,-.204,-.266,-.29,.
30,2020,5,11,-.286,.,-.249,-.013,-.198,-.201,-.263,-.291,.
30,2020,5,12,-.286,.,-.244,-.013,-.203,-.202,-.263,-.292,.
30,2020,5,13,-.287,.,-.242,-.013,-.207,-.198,-.262,-.293,.
30,2020,5,14,-.286,.,-.239,-.00557,-.211,-.19,-.258,-.293,.
30,2020,5,15,-.284,.,-.232,-.00557,-.219,-.185,-.255,-.292,.
30,2020,5,16,-.284,.,-.23,-.0204,-.219,-.179,-.255,-.292,.
30,2020,5,17,-.284,.,-.228,-.0353,-.219,-.176,-.257,-.292,.
30,2020,5,18,-.283,.,-.223,-.0501,-.219,-.163,-.256,-.29,.
30,2020,5,19,-.282,.,-.22,-.0649,-.219,-.148,-.254,-.29,.
30,2020,5,20,-.281,.,-.215,-.0798,-.219,-.137,-.252,-.288,.
30,2020,5,21,-.282,.,-.215,-.109,-.219,-.126,-.252,-.289,.
30,2020,5,22,-.283,.,-.215,-.132,-.219,-.115,-.249,-.291,.
30,2020,5,23,-.283,.,-.213,-.124,-.222,-.11,-.248,-.291,.
30,2020,5,24,-.283,.,-.212,-.117,-.224,-.108,-.246,-.292,.
30,2020,5,25,-.294,.,-.25,-.109,-.226,-.127,-.254,-.304,.
30,2020,5,26,-.282,.,-.211,-.109,-.226,-.0986,-.245,-.291,.
30,2020,5,27,-.281,.,-.205,-.102,-.228,-.0926,-.242,-.29,.
30,2020,5,28,-.279,.,-.198,-.0872,-.232,-.0898,-.24,-.288,.
30,2020,5,29,-.277,.,-.194,-.0649,-.234,-.0833,-.237,-.286,.
30,2020,5,30,-.276,.,-.194,-.0649,-.241,-.0758,-.231,-.287,.
31,2020,1,1,.,.,.,.,.,.,.,.,.
31,2020,1,2,.,.,.,.,.,.,.,.,.
