year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jz2,bg_posts_jz3,bg_posts_jz4,bg_posts_jz5
2020,4,3,45,-.17,-.195,-.119,-.1,-.202,-.621,-.412,-.199,-.151,-.174,.0277
2020,5,29,45,-.39,-.395,-.381,-.348,-.5,-.262,-.314,-.355,-.436,-.397,-.432
2020,5,22,45,-.286,-.337,-.405,-.391,-.208,-.482,-.272,-.303,-.322,-.293,-.121
2020,6,12,45,-.165,-.218,.0149,-.194,-.217,-.123,-.168,-.118,-.138,-.229,-.25
2020,5,8,45,-.461,-.306,-.463,-.442,-.554,-.665,-.519,-.444,-.559,-.408,-.341
2020,2,14,45,.0857,.346,.222,-.131,.0248,.169,.141,.0431,.067,.0975,.106
2020,2,21,45,-.036,.118,.00467,-.344,.0354,-.231,-.266,-.115,.079,-.031,.0289
2020,1,31,45,-.0617,-.0219,-.0599,.0923,-.057,-.00868,.219,-.178,-.0285,.0486,-.0756
2020,4,24,45,-.502,-.545,-.611,-.606,-.465,-.549,-.574,-.518,-.543,-.484,-.458
2020,4,10,45,-.386,-.454,-.334,-.448,-.379,-.667,-.591,-.441,-.349,-.335,-.321
2020,5,1,45,-.523,-.543,-.521,-.643,-.536,-.551,-.578,-.493,-.517,-.57,-.471
2020,1,17,45,.164,.25,.0676,.304,.335,.0931,.0885,.109,.273,.11,.305
2020,6,5,45,-.161,-.232,.0676,-.179,-.262,-.0769,-.0869,-.133,-.179,-.177,-.143
2020,2,7,45,-.258,-.211,-.065,-.386,-.323,-.187,-.236,-.282,-.251,-.208,-.376
2020,4,17,45,-.294,-.349,-.422,-.4,-.444,-.466,-.227,-.136,-.391,-.38,-.326
2020,3,27,45,.0487,-.111,.0761,.143,.207,-.436,-.298,-.0246,.19,-.000755,.173
2020,3,20,45,-.284,-.267,-.13,-.264,-.24,-.516,-.318,-.342,-.284,-.223,-.271
2020,1,10,45,-.0438,-.146,-.0361,-.203,-.136,-.122,-.23,.0324,-.139,-.0708,-.0928
2020,5,8,46,-.22,.00292,-.405,-.433,-.358,-.11,.124,-.171,-.158,-.218,-.502
2020,4,10,46,-.295,-.289,-.444,-.0827,-.423,-.535,-.207,-.31,-.317,-.0894,-.387
2020,6,12,46,-.15,-.417,-.027,.286,-.219,-.226,-.273,-.0859,-.144,-.0725,-.514
2020,1,17,46,.148,.376,.174,.239,.0604,.419,.19,.0981,.273,.103,.0224
2020,3,13,46,-.193,-.0437,-.228,-.0638,-.267,-.419,-.372,-.268,-.226,.0354,-.425
2020,2,28,46,.0739,.633,.12,-.0922,-.0604,-.123,.322,-.0718,.00686,.336,-.0671
2020,3,20,46,-.249,-.0437,-.135,-.262,-.219,-.587,-.174,-.238,-.364,-.116,-.233
2020,5,1,46,-.494,-.394,-.444,-.527,-.656,-.226,-.174,-.383,-.523,-.538,-.623
2020,5,29,46,-.279,-.324,-.236,-.499,-.0228,-.368,-.107,-.407,-.136,-.164,-.431
2020,2,21,46,.118,.0379,.027,.0402,.0497,-.368,.0248,-.118,.322,.295,.00319
2020,3,27,46,.0343,.00292,.174,.0875,.149,-.316,.322,.0536,-.0233,.126,-.163
2020,2,7,46,-.186,.0262,-.0811,.00236,-.157,-.381,.0909,-.294,-.169,-.0523,-.444
2020,4,17,46,-.138,-.522,-.421,.0402,-.275,-.148,.157,-.0091,-.185,-.0691,-.431
2020,3,6,46,.0698,-.00875,.197,-.0165,.458,-.0839,.0579,-.153,.237,.285,-.0735
2020,4,3,46,-.133,-.0204,-.436,-.0922,-.0765,-.639,.355,-.316,-.0919,.0354,-.016
2020,6,5,46,-.264,-.172,-.236,-.111,-.313,-.2,.0579,-.175,-.424,-.11,-.444
2020,1,10,46,-.0349,-.254,-.0193,-.026,-.0604,.342,-.00826,-.0819,-.0261,.0894,-.0927
2020,4,24,46,-.379,-.534,-.405,-.281,-.383,-.561,-.438,-.464,-.284,-.278,-.482
