year,month,day_endofweek,countyfips,spend_all
2020,1,12,27123,-.00152
2020,1,12,27129,-.0378
2020,1,12,27131,-.0447
2020,1,12,27135,.0761
2020,1,12,27137,.00524
2020,1,12,27139,.0264
2020,1,12,27141,-.0207
2020,1,12,27143,.00901
2020,1,12,27145,-.0395
2020,1,12,27147,.0113
2020,1,12,27153,-.0496
2020,1,12,27157,.0568
2020,1,12,27161,-.0285
2020,1,12,27163,-.0147
2020,1,12,27167,-.0456
2020,1,12,27169,-.00402
2020,1,12,27171,-.0474
2020,1,12,27173,.0703
2020,1,12,28009,.0675
2020,1,12,28011,-.0246
2020,1,12,28027,-.024
2020,1,12,28033,.0599
2020,1,12,28035,.048
2020,1,12,28039,.159
2020,1,12,28047,.0346
2020,1,12,28049,.0854
2020,1,12,28059,-.114
2020,1,12,28061,.0107
2020,1,12,28067,.0161
2020,1,12,28071,-.0731
2020,1,12,28073,-.0638
2020,1,12,28075,-.0184
2020,1,12,28081,-.0127
2020,1,12,28083,.0392
2020,1,12,28087,.0761
2020,1,12,28089,.0266
2020,1,12,28093,.0331
2020,1,12,28105,-.0487
2020,1,12,28107,.00791
2020,1,12,28121,.0247
2020,1,12,28129,.0239
2020,1,12,28133,.00822
2020,1,12,28139,-.00263
2020,1,12,28145,.115
2020,1,12,28151,-.0117
2020,1,12,29029,.0931
2020,1,12,29031,-.0849
2020,1,12,29037,-.0244
2020,1,12,29043,-.133
2020,1,12,29047,.0426
2020,1,12,29051,.031
2020,1,12,29071,-.107
2020,1,12,29077,-.0124
2020,1,12,29095,.0267
2020,1,12,29097,-.00566
2020,1,12,29099,.0631
2020,1,12,29101,.00157
2020,1,12,29107,-.101
2020,1,12,29113,.0187
2020,1,12,29127,.0961
2020,1,12,29131,.222
2020,1,12,29145,.0179
2020,1,12,29159,.0932
2020,1,12,29165,.0113
2020,1,12,29169,.0373
2020,1,12,29183,.00561
2020,1,12,29186,.115
2020,1,12,29189,.05
2020,1,12,29209,-.0741
2020,1,12,29213,.0581
2020,1,12,29225,-.0566
2020,1,12,29510,.1
2020,1,12,30001,-.193
2020,1,12,30009,-.0865
