year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,18,19037,10,.151
2020,1,18,19039,17,.344
2020,1,18,19041,19,.22
2020,1,18,19043,36,.349
2020,1,18,19045,67,.289
2020,1,18,19047,23,.278
2020,1,18,19049,58,.115
2020,1,18,19051,7,.164
2020,1,18,19053,3,.0674
2020,1,18,19055,22,.205
2020,1,18,19057,61,.311
2020,1,18,19059,17,.166
2020,1,18,19061,236,.414
2020,1,18,19063,10,.188
2020,1,18,19065,30,.279
2020,1,18,19067,13,.145
2020,1,18,19069,13,.224
2020,1,18,19071,1,.0268
2020,1,18,19073,3,.0546
2020,1,18,19075,12,.181
2020,1,18,19077,22,.386
2020,1,18,19079,12,.171
2020,1,18,19081,10,.167
2020,1,18,19083,12,.146
2020,1,18,19085,12,.16
2020,1,18,19087,24,.242
2020,1,18,19089,9,.171
2020,1,18,19091,9,.173
2020,1,18,19093,9,.215
2020,1,18,19095,29,.271
2020,1,18,19097,41,.367
2020,1,18,19099,44,.219
2020,1,18,19101,16,.156
2020,1,18,19103,69,.0787
2020,1,18,19105,37,.34
2020,1,18,19107,15,.283
2020,1,18,19109,13,.152
2020,1,18,19111,29,.177
2020,1,18,19113,309,.249
2020,1,18,19115,17,.277
2020,1,18,19117,6,.128
2020,1,18,19119,3,.0419
2020,1,18,19121,34,.39
2020,1,18,19123,23,.191
2020,1,18,19125,31,.167
2020,1,18,19127,32,.176
2020,1,18,19129,4,.0533
2020,1,18,19131,3,.0432
2020,1,18,19133,9,.2
2020,1,18,19135,7,.172
2020,1,18,19137,1,.0197
2020,1,18,19139,36,.162
2020,1,18,19141,6,.0717
2020,1,18,19143,3,.0838
2020,1,18,19145,7,.108
2020,1,18,19147,6,.124
2020,1,18,19149,22,.146
2020,1,18,19151,1,.0218
2020,1,18,19153,616,.225
2020,1,18,19155,56,.114
2020,1,18,19157,10,.0949
2020,1,18,19159,4,.159
2020,1,18,19161,9,.168
2020,1,18,19163,169,.186
2020,1,18,19165,4,.0588
2020,1,18,19167,21,.0984
2020,1,18,19169,50,.0844
2020,1,18,19171,18,.187
2020,1,18,19173,5,.154
2020,1,18,19175,18,.282
2020,1,18,19177,6,.162
2020,1,18,19179,30,.166
2020,1,18,19181,66,.229
2020,1,18,19183,23,.188
2020,1,18,19185,5,.176
2020,1,18,19187,37,.187
2020,1,18,19189,10,.192
2020,1,18,19191,18,.148
2020,1,18,19193,70,.124
2020,1,18,19195,8,.187
2020,1,18,19197,17,.241
2020,1,18,55001,25,.307
2020,1,18,55003,32,.404
2020,1,18,55005,101,.414
2020,1,18,55007,31,.408
2020,1,18,55009,293,.207
2020,1,18,55011,18,.278
2020,1,18,55013,22,.308
2020,1,18,55015,58,.21
2020,1,18,55017,151,.455
2020,1,18,55019,66,.372
2020,1,18,55021,89,.282
2020,1,18,55023,25,.328
2020,1,18,55025,376,.117
2020,1,18,55027,137,.288
2020,1,18,55029,84,.549
2020,1,18,55031,42,.182
2020,1,18,55033,57,.236
2020,1,18,55035,134,.228
2020,1,18,55037,4,.18
2020,1,18,55039,145,.253
2020,1,18,55041,19,.474
2020,1,18,55043,57,.205
2020,1,18,55045,49,.233
