statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
29,2020,3,8,-.0163,-.0197,-.0109,-.0714,-.024,.0721,-.0313,-.0048,-.0231
29,2020,3,9,-.0169,-.0229,-.0114,-.064,-.0253,.0691,-.0318,-.00579,-.0227
29,2020,3,10,-.0177,-.026,-.014,-.0567,-.0267,.068,-.0325,-.00647,-.0237
29,2020,3,11,-.0183,-.0292,-.0139,-.0494,-.0286,.0671,-.0335,-.00696,-.0242
29,2020,3,12,-.0195,-.0324,-.0176,-.042,-.0304,.0639,-.0347,-.00777,-.0263
29,2020,3,13,-.0211,-.0366,-.0206,-.0362,-.0317,.0564,-.0362,-.00896,-.029
29,2020,3,14,-.0243,-.0419,-.0203,-.0332,-.0357,.0477,-.0377,-.0125,-.034
29,2020,3,15,-.028,-.0471,-.0239,-.0303,-.0396,.0385,-.0396,-.017,-.0384
29,2020,3,16,-.0318,-.0524,-.0306,-.0273,-.0436,.0323,-.0415,-.0214,-.0436
29,2020,3,17,-.0368,-.058,-.0384,-.0237,-.0475,.00648,-.0437,-.0276,-.0499
29,2020,3,18,-.043,-.0637,-.051,-.0207,-.0517,-.0321,-.0478,-.0347,-.0576
29,2020,3,19,-.0505,-.0703,-.0658,-.0185,-.0557,-.0805,-.0538,-.0431,-.0652
29,2020,3,20,-.0598,-.076,-.0796,-.0171,-.059,-.153,-.0609,-.0541,-.073
29,2020,3,21,-.07,-.0756,-.0957,-.0281,-.0606,-.234,-.07,-.0654,-.0826
29,2020,3,22,-.0782,-.0753,-.106,-.0391,-.0622,-.286,-.0768,-.0745,-.09
29,2020,3,23,-.0862,-.0749,-.121,-.0501,-.0639,-.329,-.0854,-.0821,-.0982
29,2020,3,24,-.0949,-.0742,-.139,-.0618,-.0656,-.37,-.0943,-.0908,-.107
29,2020,3,25,-.103,-.0735,-.157,-.0751,-.067,-.403,-.102,-.0996,-.115
29,2020,3,26,-.11,-.0721,-.172,-.089,-.0688,-.432,-.108,-.107,-.123
29,2020,3,27,-.117,-.0679,-.185,-.102,-.0713,-.451,-.115,-.113,-.131
29,2020,3,28,-.128,-.0749,-.2,-.115,-.0764,-.464,-.124,-.123,-.145
29,2020,3,29,-.138,-.082,-.214,-.127,-.0814,-.472,-.133,-.133,-.159
29,2020,3,30,-.148,-.089,-.229,-.14,-.0864,-.484,-.142,-.143,-.171
29,2020,3,31,-.158,-.096,-.243,-.153,-.0913,-.494,-.152,-.152,-.184
29,2020,4,1,-.167,-.103,-.254,-.165,-.0961,-.507,-.161,-.161,-.197
29,2020,4,2,-.178,-.11,-.265,-.177,-.101,-.519,-.171,-.17,-.21
29,2020,4,3,-.189,-.122,-.279,-.192,-.107,-.528,-.182,-.182,-.225
29,2020,4,4,-.201,-.132,-.29,-.207,-.116,-.536,-.192,-.193,-.24
29,2020,4,5,-.213,-.142,-.301,-.223,-.125,-.541,-.203,-.204,-.256
29,2020,4,6,-.224,-.152,-.313,-.238,-.134,-.551,-.214,-.215,-.272
29,2020,4,7,-.237,-.162,-.322,-.253,-.143,-.561,-.224,-.227,-.288
29,2020,4,8,-.248,-.173,-.333,-.267,-.152,-.569,-.235,-.239,-.302
29,2020,4,9,-.26,-.183,-.343,-.282,-.16,-.577,-.244,-.25,-.316
29,2020,4,10,-.27,-.192,-.353,-.295,-.168,-.584,-.255,-.261,-.329
29,2020,4,11,-.28,-.203,-.367,-.306,-.171,-.59,-.263,-.269,-.343
29,2020,4,12,-.29,-.214,-.381,-.317,-.173,-.604,-.27,-.279,-.357
29,2020,4,13,-.298,-.225,-.39,-.328,-.175,-.607,-.277,-.287,-.37
29,2020,4,14,-.306,-.235,-.398,-.339,-.178,-.609,-.284,-.294,-.384
29,2020,4,15,-.314,-.245,-.406,-.35,-.181,-.609,-.291,-.302,-.397
29,2020,4,16,-.322,-.255,-.414,-.361,-.184,-.607,-.298,-.308,-.409
29,2020,4,17,-.33,-.264,-.422,-.369,-.188,-.608,-.303,-.316,-.421
29,2020,4,18,-.334,-.267,-.423,-.373,-.193,-.609,-.308,-.321,-.422
29,2020,4,19,-.338,-.27,-.422,-.377,-.199,-.599,-.313,-.325,-.421
29,2020,4,20,-.342,-.274,-.422,-.38,-.204,-.598,-.318,-.33,-.422
29,2020,4,21,-.346,-.277,-.423,-.386,-.21,-.595,-.322,-.336,-.423
29,2020,4,22,-.35,-.28,-.423,-.389,-.216,-.59,-.326,-.341,-.423
29,2020,4,23,-.354,-.284,-.423,-.393,-.222,-.586,-.33,-.345,-.424
29,2020,4,24,-.357,-.286,-.424,-.4,-.226,-.58,-.334,-.349,-.425
