year,month,day_endofweek,statefips,initclaims_count_regular,contclaims_count_regular,initclaims_count_pua,contclaims_count_peuc,contclaims_count_pua,initclaims_count_combined,contclaims_count_combined,initclaims_rate_regular,contclaims_rate_regular,initclaims_rate_pua,contclaims_rate_peuc,contclaims_rate_pua,initclaims_rate_combined,contclaims_rate_combined
2020,2,1,49,1290,11872,0,0,0,1290,11872,.0802,.738,0,0,0,.0802,.738
2020,2,1,50,481,5006,0,0,0,481,5006,.141,1.46,0,0,0,.141,1.46
2020,2,1,51,2575,22263,0,0,0,2575,22263,.0584,.505,0,0,0,.0584,.505
2020,2,1,53,6527,64953,0,0,0,6527,64953,.167,1.66,0,0,0,.167,1.66
2020,2,1,54,1364,16905,0,0,0,1364,16905,.171,2.12,0,0,0,.171,2.12
2020,2,1,55,6280,44425,0,0,0,6280,44425,.202,1.43,0,0,0,.202,1.43
2020,2,1,56,529,3475,0,0,0,529,3475,.181,1.19,0,0,0,.181,1.19
2020,2,8,1,2176,16745,0,0,0,2176,16745,.0971,.747,0,0,0,.0971,.747
2020,2,8,2,980,9161,0,0,0,980,9161,.282,2.63,0,0,0,.282,2.63
2020,2,8,4,3635,18454,0,0,0,3635,18454,.102,.52,0,0,0,.102,.52
2020,2,8,5,1724,12964,0,0,0,1724,12964,.127,.951,0,0,0,.127,.951
2020,2,8,6,40300,358156,0,0,0,40300,358156,.208,1.84,0,0,0,.208,1.84
2020,2,8,8,2472,22881,0,0,0,2472,22881,.0785,.727,0,0,0,.0785,.727
2020,2,8,9,2932,41439,0,0,0,2932,41439,.153,2.17,0,0,0,.153,2.17
2020,2,8,10,608,5888,0,0,0,608,5888,.125,1.21,0,0,0,.125,1.21
2020,2,8,11,508,7156,0,0,0,508,7156,.122,1.72,0,0,0,.122,1.72
2020,2,8,12,5604,33160,0,0,0,5604,33160,.0543,.321,0,0,0,.0543,.321
2020,2,8,13,5577,26984,0,0,0,5577,26984,.109,.528,0,0,0,.109,.528
2020,2,8,15,1137,6205,0,0,0,1137,6205,.171,.933,0,0,0,.171,.933
2020,2,8,16,1443,11389,0,0,0,1443,11389,.164,1.29,0,0,0,.164,1.29
2020,2,8,17,9794,130900,0,0,0,9794,130900,.152,2.03,0,0,0,.152,2.03
2020,2,8,18,2725,22212,0,0,0,2725,22212,.0804,.656,0,0,0,.0804,.656
2020,2,8,19,2375,30786,0,0,0,2375,30786,.137,1.77,0,0,0,.137,1.77
2020,2,8,20,2102,11741,0,0,0,2102,11741,.141,.79,0,0,0,.141,.79
2020,2,8,21,2936,22937,0,0,0,2936,22937,.142,1.11,0,0,0,.142,1.11
2020,2,8,22,1805,15051,0,0,0,1805,15051,.0861,.718,0,0,0,.0861,.718
2020,2,8,23,702,8807,0,0,0,702,8807,.101,1.27,0,0,0,.101,1.27
2020,2,8,24,3150,29342,0,0,0,3150,29342,.0966,.9,0,0,0,.0966,.9
2020,2,8,25,5876,76456,0,0,0,5876,76456,.154,2,0,0,0,.154,2
2020,2,8,26,6619,79798,0,0,0,6619,79798,.134,1.62,0,0,0,.134,1.62
